"Analysis";"Langauge Code";"Year";"Breakpoint 1";"Breakpoint 2";"alpha";"beta1";"beta2";"intercept"
"Double Breakpoint R";"eng-gb";1918;8.58100421739496;10.3207288207908;-0.982939471430277;-0.474118882610468;-0.333480729114313;16.3008605408782
"Double Breakpoint R";"eng-gb";1919;8.6317813587998;10.3846499240931;-0.990566763906332;-0.464286062842045;-0.329581542957088;16.6672042268651
"Double Breakpoint R";"eng-gb";1920;8.62057344199748;10.4331932543197;-0.979566599121608;-0.489179002956996;-0.340275214892077;17.0405165793661
"Double Breakpoint R";"eng-gb";1921;8.61032612749714;10.3303767310469;-0.97779036078956;-0.452288612157661;-0.328032917338576;16.907639548897
"Double Breakpoint R";"eng-gb";1922;8.61767430832492;10.3820579853492;-0.980711487683505;-0.448544625631168;-0.328242815252091;16.8843797145162
"Double Breakpoint R";"eng-gb";1923;8.58559850505431;10.2403984594647;-0.984172864927522;-0.435645781351622;-0.287892087732569;17.2060883061955
"Double Breakpoint R";"eng-gb";1924;8.56670625026735;10.2228452508863;-0.983771573845444;-0.432177167576496;-0.315299841186306;17.2022057279979
"Double Breakpoint R";"eng-gb";1925;8.63228882910403;10.2240070908906;-0.9912312884336;-0.431711223802019;-0.306871101664879;17.2485735840354
"Double Breakpoint R";"eng-gb";1926;8.63899670636727;10.3042364991151;-0.987100107602578;-0.437745079976489;-0.270647496994163;17.0740673054672
"Double Breakpoint R";"eng-gb";1927;8.67306725766706;10.312758798629;-0.991852052484014;-0.442064724072207;-0.297932287440354;17.2481880582158
"Double Breakpoint R";"eng-gb";1928;8.68670107620871;10.4018680913133;-0.993618168454713;-0.45514954543563;-0.294000525692984;17.2440872745456
"Double Breakpoint R";"eng-gb";1929;8.7053517816659;10.3792136210597;-0.997758382349475;-0.438811919918605;-0.307616411267092;17.186418491831
"Double Breakpoint R";"eng-gb";1930;8.70331454625091;10.3343372176035;-0.994981622024023;-0.450595184250129;-0.289424546061789;17.2404706039975
"Double Breakpoint R";"eng-gb";1931;8.67335701234597;10.458418022224;-0.992800287872636;-0.452349409386002;-0.32435356049124;17.1942038240276
"Double Breakpoint R";"eng-gb";1932;8.65446942190476;10.4162197885395;-0.996270938244423;-0.457970438191152;-0.337799546875403;17.0904267410894
"Double Breakpoint R";"eng-gb";1933;8.66797946615816;10.4597893734386;-0.991915021616616;-0.472404228745233;-0.312150943187112;16.8987756728784
"Double Breakpoint R";"eng-gb";1934;8.60089850259443;10.3516676120092;-0.979864767331391;-0.45179842337056;-0.34051720790557;16.942402353589
"Double Breakpoint R";"eng-gb";1935;8.61856584295329;10.385655849051;-0.983214932257319;-0.469958675292854;-0.327654185582999;16.9907163356296
"Double Breakpoint R";"eng-gb";1936;8.59921380105695;10.4185859931484;-0.978885058352279;-0.470187132712051;-0.321583903052667;17.0071954113896
"Double Breakpoint R";"eng-gb";1937;8.59813583800541;10.4018972363756;-0.976567512203354;-0.478850745289347;-0.310675419439475;16.9239478266364
"Double Breakpoint R";"eng-gb";1938;8.61735594752639;10.4156380886142;-0.980181202584126;-0.483157395424364;-0.321892746342401;17.0051385418716
"Double Breakpoint R";"eng-gb";1939;8.61320800542378;10.4303169716261;-0.977789300853032;-0.490518028272828;-0.304657623844903;16.8476182146414
"Double Breakpoint R";"eng-gb";1940;8.5114956076477;10.3039252608945;-0.961510570940264;-0.481295284012511;-0.290428802333515;16.533060213967
"Double Breakpoint R";"eng-gb";1941;8.574274822102;10.3213002454083;-0.972626362969291;-0.45573106874373;-0.308800219345383;16.2327144107287
"Double Breakpoint R";"eng-gb";1942;8.47309811709522;10.2733396388224;-0.964508003921915;-0.494837152309465;-0.327994833370825;16.0890828121358
"Double Breakpoint R";"eng-gb";1943;8.48984815752742;10.255319259779;-0.969175347976817;-0.484068493541642;-0.348318377920961;16.1728543497933
"Double Breakpoint R";"eng-gb";1944;8.52144116349019;10.3264963521634;-0.975386531123838;-0.494223684305527;-0.34715286374881;16.1877579740853
"Double Breakpoint R";"eng-gb";1945;8.53840423382646;10.3781729749274;-0.972736974432837;-0.483405997777446;-0.35497240961284;16.4124451817599
"Double Breakpoint R";"eng-gb";1946;8.58018669761583;10.4004210225345;-0.976441006041927;-0.476726953141012;-0.34442662289812;16.8645021825865
"Double Breakpoint R";"eng-gb";1947;8.5721855621146;10.4667693964982;-0.971193336722615;-0.492248459022979;-0.343467981738087;16.9453156296187
